date,category,amount
2026-08-01,rent,1450.00
2026-08-01,utilities,96.40
2026-08-02,groceries,82.17
2026-08-03,transport,3.50
2026-08-03, dining , 27.80
2026-08-04,groceries,41.05
2026-08-05,subscriptions,15.99
2026-08-05,subscriptions,9.99
2026-08-06,transport,45.00
2026-08-07,health,60.00
2026-08-08,entertainment,32.50
2026-08-09,groceries,103.62
2026-08-10,dining,54.20
2026-08-11,transport,3.50
2026-08-12,clothing,89.99
2026-08-13,groceries,37.48
2026-08-14,gifts,25
2026-08-15,dining,18.75

2026-08-16,transport,twelve
2026-08-17,groceries
2026-08-18,utilities,
2026-08-19,health,-20.00
2026-08-20,dining,$14.50
2026-08-21,groceries,64.30
2026-08-23,transport,3.50
2026-08-24,dining,41.10
2026-08-25,groceries,59.99
2026-08-26,subscriptions,15.99
2026-08-27,clothing,120.00
2026-08-28,gifts,75.50
2026-08-29,groceries,48.12
2026-08-30,dining,36.40
2026-08-31,transport,3.50
