"date","category","amount","payment","note"
"9/1/2026","rent","1500","bank transfer","September rent"
"9/1/2026","utilities","112.35","card","Electric, gas"
"9/2/2026","groceries","76.8","card",""
"9/3/2026","transport","2.75","cash",""
"9/3/2026","dining","23.4","card","Lunch"
"9/4/2026","groceries","58.21","card",""
"9/5/2026","entertainment","45","card","Concert ticket"
"9/6/2026","health","30","cash","Pharmacy"
"9/7/2026","transport","61.5","card","Train pass"
"9/8/2026","groceries","32.09","card",""
"9/9/2026","subscriptions","11.99","card","Streaming"
"9/10/2026","dining","67.25","card","Dinner, with friends"
"9/11/2026","clothing","149.99","card","Jacket"
"9/12/2026","groceries","91.44","card",""
"9/13/2026","gifts","35","cash","Birthday"
"9/14/2026","transport","2.75","cash",""
"9/15/2026","health","-15","card","Refund"
"9/16/2026","dining","N/A","card","Amount missing"
"9/17/2026","groceries","","card",""
"9/19/2026","groceries","49.9","card",""
"9/20/2026","entertainment","28.5","card","Cinema"
"9/21/2026","dining","19.99","card",""
"9/22/2026","subscriptions","11.99","card","Streaming"
"9/23/2026","transport","2.75","cash",""
"9/24/2026","groceries","67.3","card",""
"9/25/2026","gifts","80","card","Anniversary"
"9/26/2026","clothing","54.5","card",""
"9/27/2026","dining, takeout","22.6","card",""
"9/28/2026","subscriptions","1,299.00","card","Annual plan"
"9/29/2026","groceries","38.15","card",""
"9/30/2026","transport","2.75","cash",""
